,R_1M,R_3M,R2_3M,AboveEMA50,Vol20(ann),MaxDD_Pct,R_10D,R_5D,EMA20_SLOPE_10D,EMA20_CURV_20D,UNDER_EMA20_DEPTH,UNDER_EMA20_DAYS,DOWN_STREAK_5D,FMS,Filter_Status,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
AFG,0.03862353017490361,0.09886802216364088,0.7091169861178092,0.013196293446986473,0.2261200556159008,-11.331771478195996,-0.05530963179455728,-0.021705276828461018,0.0006062005093828441,-0.0038342972376413918,-0.028024347684499684,14,2,-1.9953479637255231,정상,0.03319615510216245,-0.5423729122742746,-0.021705276828461018,0.09786390271157974,0.09192404477701799
AVB,0.08049739366732811,0.13494124635551752,0.6741707845152689,0.03595788007030776,0.25781534368654857,-13.33005484121399,-0.0346756719679332,0.020108487983397927,0.0006203741012432471,-0.0028973713691774526,-0.029032263313683138,11,2,-2.0071214068168604,정상,0.14015837524829733,-0.2730853839818008,0.020108487983397927,0.1212467770327077,0.13740066524620254
SSB,0.06950606131804782,0.06224170637802162,0.6215113214687433,0.04426727748056902,0.21888658032549702,-17.051873529909923,-0.0034584240057925486,0.037678233604948375,-0.0003159932396718767,-0.00456772412418652,-0.03246127704162516,21,1,-2.18243976552421,정상,0.19877208547795266,0.7115016544305321,0.037678233604948375,0.05459822730648356,0.15823797378149695
TSPA,-0.0029559225740316553,0.07548709581652924,0.6562930925055216,-0.000986072171435759,0.11034465981767219,-6.599367523650212,-0.029409396944031108,-0.012239514502501603,-0.0006508328648250802,-0.0015987825018840558,-0.014574626518698786,10,2,-2.236638567407068,정상,-0.5048414882093888,-0.5554028079964699,-0.012239514502501603,0.111954709450099,0.1478622557900735
PKG,0.0041210832464830816,0.1197838560455855,0.667319690753692,0.015425074634124902,0.27969571777203467,-14.636497796507864,-0.05900567227188758,0.03064764260455166,-0.002971109147641275,-0.008608498829972286,-0.04959245855077188,12,2,-2.279268849580711,정상,0.2906874908545922,0.45867487608589785,0.03064764260455166,0.08328397996396264,0.187657557036772
ENOV,0.32422147709152793,0.08387069331951502,0.0003941979586539514,0.1682380029441859,0.9188660433183007,-34.89533556967221,0.19480923282143925,0.10030854404389156,0.00852834238082512,0.01000152754361815,-0.09129874679584582,31,1,-2.3308229603284976,정상,-0.08565129731525101,0.4283575144642646,0.10030854404389156,0.19214245294958854,0.08906481103283337
SGRY,0.1501982606885699,0.17952949597619838,0.5679929591972319,0.07495452535473146,0.47691889053803643,-47.75009458893239,-0.07507456979737204,-0.01907143983657633,0.0011345489245734803,-0.008529331886019943,-0.06537213323272673,15,2,-2.3840000960275063,정상,0.6447074944431588,-0.7794098038363926,-0.01907143983657633,0.08175879375087702,0.11319271607547576
FENY,0.031896539486432784,0.04998057632269215,0.11414611927174023,0.004543069486867113,0.22729852837581943,-14.088724085006765,0.022710686579615613,0.026902048891781716,0.0004402156869644678,0.002442789127349674,-0.04979684152463815,31,1,-2.389024815091445,정상,0.05050912615999703,0.4460503514561407,0.026902048891781716,0.19003596348036877,0.3365967362627693
CUBE,0.0458731760920037,0.07455426986899272,0.6357227604821469,0.03488805467566669,0.29680382262844013,-14.429234371454669,-0.016805954260225686,0.045239244969266235,-0.001011992995153414,-0.0023983250144060386,-0.02687180041516468,16,2,-2.417167512553415,정상,0.42917880920599893,0.35055734963819063,0.045239244969266235,0.11622305650304221,0.2589193210173175
FSS,0.03260791369019711,0.052871901297859125,0.22190729524982014,-0.004685459857122876,0.4223576094567851,-16.430841932266137,-0.12695418656687119,0.010666095365863715,-0.0034336034711057108,-0.01265816408645682,-0.06418204127502314,30,1,-2.8365590768664557,정상,-0.03032371758423036,0.4707886526383973,0.010666095365863715,0.05191122140321314,0.14051321971739728
SGOV,-0.013486298430330668,0.023215027782911957,0.5738081812201249,-0.01400028749520743,0.0851567099292646,-4.365956984287822,-0.04123084511910158,-0.010719166551563908,-0.001257448930964414,-0.002560007364204205,-0.019637449524485873,22,4,-3.216741933921878,정상,-0.287191866221967,-0.34004048119811436,-0.010719166551563908,0.023431728213774816,0.053695279510561855
DECK,0.014409095022327234,-0.0041739252498324,0.16717206390979103,0.012797339801640994,0.35338070769689595,-34.09717402679194,-0.0025767729935016748,0.03382118048412219,-0.0008742313286913432,0.002082129744164149,-0.07154217977767718,31,2,-3.3362945524189906,정상,0.08317595606034933,-0.11948876516561713,0.03382118048412219,0.07564463903676422,0.08702227765529624
BZH,0.2194457711592135,0.48150982898992867,0.8147912336847902,0.2000013340665836,0.5699069018646025,-33.54608334721787,0.1361626173339454,0.0480775950642911,0.009064278253931336,0.0024801674189456526,-0.1566744465191401,8,1,-999.0,치명적 변동성 (1일 30% 초과),0.0,0.0,0.0480775950642911,0.3764789221298317,0.6979933826377602
LQDA,0.07846394903743437,1.0273873332944818,0.8557278110632649,0.09310830166761885,0.634291369202211,-36.21960713338428,-0.0866894543490786,-0.08641707884757477,0.0021861330201046586,-0.01120346231089991,-0.06933613485141854,7,1,-999.0,치명적 변동성 (1일 30% 초과),0.0,0.0,-0.08641707884757477,0.8929446869733442,1.2556629672735182
