,R_1M,R_3M,AboveEMA50,Vol20(ann),FMS,Filter_Status,ΔFMS_1D,ΔFMS_5D,R_1W,R_6M,R_YTD
BLE,0.03675422075466095,0.10741916590613187,0.03509770203960416,0.09152757041484028,0.11547857566848646,정상,0.04473627071924319,-0.10714373001734473,-0.005413454635924797,0.09691038942490438,0.02802559051070208
DAO,0.11252554766813017,0.25000997656034674,0.07112254176867427,0.49783595228446664,0.11525532194380693,정상,-0.02842958946335454,-0.7835278403858623,-0.03264888545255007,0.2279969201126153,0.40319984244996765
INDL,0.086883400169955,0.08495797180848608,0.028822058268492823,0.24224594641181388,0.11497858052130697,정상,0.028638095723918428,-0.1054688558153131,-0.016507970827085328,0.08926699536683147,-0.040677281235253604
QFLR,0.04386910756917484,0.14338552682377803,0.04826504094334805,0.15982349086825035,0.1142438838926294,정상,-0.0016330749942240486,-0.13883341700286878,0.0011144197165662284,0.2555738754915551,0.13700976850823787
CTSH,0.09451838431294313,0.06766024562065942,0.05290348685748225,0.29920968602321196,0.11395952916033684,정상,-0.019439949674948262,0.4894540815301634,0.05504310078052432,-0.06350084786158539,-0.07830132200130835
NCZ,0.05709036619342944,0.1563943715751226,0.05328500564160654,0.2218335378438562,0.11393028304461789,정상,-0.00638087102160298,0.0761614553463803,0.01819837413845149,0.2876909542339283,0.2157870761943237
HAFC,0.1114126667518458,0.2281068596500897,0.08105941790041937,0.49936580920996565,0.11229044164732263,정상,-0.018935780035091693,-0.11123935284154157,-0.015205157249403078,0.17802550733905775,0.14253850382801958
QXQ,0.0525183934505602,0.15880708803485155,0.05839992021577278,0.2172746081240002,0.1114740394026228,정상,-0.013200903503695183,-0.10922427619462596,0.0067612747115357585,0.31874299949164353,0.1739114736508094
FNGG,0.08966070442668705,0.28361971326847724,0.09463021319530696,0.47949520173548044,0.11118515955533245,정상,0.0026583088497304785,0.14366145188646745,0.03221387503604989,0.681687476767455,0.42228823382860714
SUN,0.0836873230223667,0.041150116766928146,0.03447212179834058,0.21720479657801617,0.11098946957475758,정상,0.1309156576910651,-0.1601621317748546,-0.018025534021362644,-0.008032203662596937,0.05364202420064568
ROK,0.0652677285166896,0.09187360494740249,0.05893905758567719,0.22402359831316696,0.11018685998638716,정상,0.028493294998727048,-0.0033365675204741763,0.01730055470752423,0.2899208352855549,0.2573171766564182
VTRS,0.04094889153037151,0.20085833034268674,0.04246205059662356,0.17619076168677983,0.10980075057951588,정상,-0.0065279776465339,-0.4635697288602213,-0.007280895499007567,0.19151626430238933,-0.16117773508877598
NXJ,0.028693382744205964,0.17388499142009373,0.04776181036447902,0.12691208102493734,0.10940666163740054,정상,-0.0006894348275678364,-0.2070355380114588,-0.0027292902806134167,0.17034521382791756,0.08071381929075416
RFEU,0.031228371312807868,0.11690839641457562,0.03676877803575884,0.08426476325545121,0.10919192477838302,정상,0.011555120640979633,-0.29009447852049974,-0.007082846045324831,0.14994091400663234,0.22344045739650964
DDM,0.054349204141319385,0.18374885503822802,0.062088895770743946,0.24588286043715019,0.10877047452265626,정상,-0.013752576638756842,-0.12482672319162255,0.00377574186796914,0.3163852307339463,0.14923777855367204
MAX,0.11123377326501682,0.24134960231444524,0.0907436176628611,0.5245830905499128,0.1087697698780257,정상,0.04094249151663504,0.8358695589850146,0.05379980309880028,0.2501374051989065,0.05123541400098919
241560.KS,0.10357142857142865,0.10948693802980225,0.074032937634674,0.39317983306567134,0.1087049926614724,정상,-0.36760156828999246,-0.662943241609549,-0.008025682182985605,0.30077782086991656,0.4979907392494536
NMAI,0.03593545792322894,0.12104518752587623,0.04299349694105614,0.1137164665978476,0.10856595101690042,정상,-0.007665663531027989,-0.029143941680254026,0.013237578445616238,0.17020572579247073,0.15832667484638607
QSIX,0.0510317282522752,0.14411504188305568,0.05582367365033725,0.20099258288703745,0.10841883270488578,정상,-0.007256212768144088,-0.08093293905034868,0.006967852789931284,0.28704884075601167,0.17224909233686958
AGIX,0.04960000372584705,0.24637537104981266,0.06756070091306121,0.2753481633354253,0.1083384996514059,정상,-0.07214859130182055,-0.2798801502905928,-0.0010882809626775458,0.4551642935721303,0.3208255638385531
ENX,0.031033180978915054,0.11553131539030193,0.03791709469047122,0.08587043415523295,0.10712539576503366,정상,-0.05630770647620298,-0.10055209016350475,-0.00044176474692780854,0.10546431308073156,0.06803456435988497
QQQA,0.06746956646403701,0.14378962554547892,0.06387232747656824,0.2720991292494556,0.10688371388644252,정상,-0.06203145858296499,-0.24610156849761133,0.0021625862093903603,0.2272405073513446,0.06626950586636648
GROZ,0.04628846267672726,0.1561950353083359,0.053910668693326835,0.18929573132701957,0.1068779798220954,정상,0.027624724098371467,-0.12468735174401646,0.004597091794267039,0.328012704582898,0.18890903143987003
TSLP,0.05129876787609633,0.40312538268139875,0.08862947925572695,0.4090003061562474,0.10637555652954753,정상,0.12062031272230744,-0.24036630572121745,0.01574264491229016,0.46915517058797884,0.057343508834003076
EMSF,0.05839370293841739,0.19335144549772654,0.06944429316184575,0.27928587517690295,0.10608404799972498,정상,-0.05416516644720959,-0.16111588835663226,0.004113998501303007,0.2749067166972621,0.24661247610295733
USSG,0.04327102756172563,0.12187628687913765,0.05099937150529099,0.15527647730639388,0.10451076244863189,정상,-0.0008805961781705451,-0.1318015503733695,0.007954269304961459,0.2589504999600909,0.15050786760995827
JXI,0.045775775973075694,0.08528897535566138,0.03528783592128848,0.11657945368089151,0.10434605204974662,정상,0.04740509081970956,-0.3789190760812707,-0.016564947292045384,0.16211917088126682,0.23339176864916378
MGK,0.05170172983103649,0.1491754661463094,0.05753848075818935,0.21150237174633288,0.10425835768371094,정상,0.003553121952822702,-0.07491934852743745,0.010009239788300262,0.3235648674263991,0.18908336642597856
LE,0.08586375100191224,0.2761312015742652,0.10046736458207484,0.4764194367271209,0.10281072775606359,정상,-0.32762056887705115,-0.13169581973235642,0.012280197733502307,0.9798709038811388,0.20233786628995998
FLN,0.040429338206668275,0.1596909844845833,0.046932761643247334,0.16181533721987054,0.10267784667413193,정상,0.05656947030071796,0.160407592974103,0.013852275845859019,0.19056275031831027,0.41149810359472716
AB,0.07477300150852884,0.02534462483044453,0.0241192429696111,0.16477875273840378,0.10233125048783093,정상,-0.003465650900085271,0.11154810629372064,-0.004482340525375439,0.009352637280034104,0.11205010538288396
ECON,0.053648881063319775,0.17084115349076123,0.05824219422294208,0.23319960990321095,0.10232724357745832,정상,-0.03731209024721016,-0.23824966716706614,-0.005383008892649199,0.28241915426588293,0.30295825939215804
RRBI,0.08820528516326909,0.1649233924128326,0.05385953600796678,0.3425114843055067,0.10212960596706358,정상,0.13973447518288423,0.1539494000067146,-0.011155630889238877,0.25009420730767173,0.22728399328186089
BGLD,0.02663932125250379,0.13275511662714257,0.035548305628459786,0.079729125604651,0.10192327511850008,정상,0.02183837300653879,-0.2389037959911623,-0.011394716488601686,0.14772624629751618,0.27539410972305545
NEE,0.060786861017792404,0.189586645777722,0.04366895329307874,0.24497150009877494,0.10190429119180466,정상,0.06249222334693427,-0.7798004661980928,-0.04078474222190098,0.237163315100398,0.1319339812319671
BBN,0.03966287096932941,0.07393469017766563,0.038557180378592015,0.095647110842674,0.10173451203838024,정상,0.031131648685888247,-0.04175351277281769,0.007247922625905234,0.12033299229412342,0.07938937388157452
HAWX,0.04264291239418139,0.13727455446089487,0.044518374235080316,0.15295840768222888,0.10167051388521753,정상,-0.01989110760124141,-0.20997987830425557,-0.006339589800483103,0.20159830223711772,0.19840378316348684
MADE,0.05285526672897034,0.1299221719870216,0.05584930590829984,0.20325951681588755,0.10108233065090344,정상,-0.004963196522257574,-0.3133623376022344,-0.008498755597693863,0.2904379587596848,0.20665640452898826
FCFS,0.0796765097297345,0.22728075305437412,0.06473468109577718,0.36816150567421474,0.10084703298010647,정상,0.1457106374511043,0.24339988256679468,0.019558260278538908,0.21292349388577603,0.49794661354983294
SPXC,0.07600117422613151,0.0046594737716560974,0.06810433584524866,0.23086016271661558,0.10082536545591331,정상,-0.07009924380798724,-0.16371664979638956,0.01639783729223221,0.35680607968780564,0.326082037949484
STNE,0.04317870861629203,0.4981314571663833,0.06381896888158267,0.39860194411464817,0.10034643691472331,정상,-0.0022301636921875923,-0.07470822197255092,-0.02442038415884029,0.3792471683819356,1.275718219312802
FCUS,0.06674977680897598,0.2806743656823707,0.10678781742080234,0.4250243046956522,0.09967546221908907,정상,-0.1222347083570961,-0.3848332257912859,0.01898771746422767,0.48389541990874974,0.15889163758890334
URGN,0.1812662964646412,-0.014001121136142047,0.1066323763682695,0.6501365753081824,0.09934452564371693,정상,0.25675794707289973,0.41864565826664496,0.037767842130316476,0.8959312105258437,0.8087494408479945
SUSL,0.04387432124294821,0.12184951250507958,0.04986085055202327,0.15855642778714416,0.09909968569357275,정상,0.015490397229161235,-0.12320120906741244,0.006686472649526376,0.25914318164600547,0.14802025847258404
TOPT,0.045061942500304486,0.15511184286479662,0.0546370405334895,0.19026318212444565,0.09873958392833787,정상,0.02272938101789934,-0.03156840852785214,0.012684165741127407,0.3179435401451973,0.1752945130115071
NACP,0.041653790876265306,0.16762008322055055,0.0510656140504433,0.1802361673643106,0.09800371204108244,정상,0.010899194897548203,-0.16730468072302324,-0.0007257303295669093,0.26232747353541375,0.1764591425355826
OMCL,0.13781040374352727,0.13314768142733024,0.09610666281403302,0.5687683717026181,0.0977534639360626,정상,0.0080612106413962,0.3662749258252628,0.07084675681365282,0.34785912778632744,-0.2680304108053615
AME,0.08235804103328026,0.10541982457678278,0.07639530458647648,0.3273915875903651,0.0976942022869377,정상,0.051637517239382424,0.1788475223516397,0.051010151102246715,0.18197901115395188,0.07317887931312006
PZT,0.02978556221956019,0.08763709437174105,0.02745548774777573,0.05333407839337253,0.09754255454616412,정상,0.005214708590875139,-0.14007241213699584,-0.009119460711438987,0.06917232766672643,-0.009865075740800644
DAN,0.061011256537568004,0.3103391157369797,0.08257129714359679,0.3835532768349554,0.09736207332817687,정상,-0.14870416838953315,0.06246906564185095,0.0426460950398575,0.4233612183435136,0.7881992209767787
HLAL,0.04542171596180755,0.16058750472640004,0.051734879311281734,0.19085720976645282,0.0970528697929271,정상,0.009621314778316015,-0.17303826406873163,-0.002559752542988347,0.2822782652626836,0.13622786795918196
